Epoch 116: Loss 8.39, Reward -21.0, Avgloss 9.80, Avgreward -20.60, Epsilon 0.17, TotalStep 101453
Epoch 117: Loss 9.31, Reward -21.0, Avgloss 9.81, Avgreward -20.60, Epsilon 0.17, TotalStep 102243
Epoch 118: Loss 10.00, Reward -21.0, Avgloss 9.81, Avgreward -20.61, Epsilon 0.17, TotalStep 103089
Epoch 119: Loss 9.90, Reward -21.0, Avgloss 9.82, Avgreward -20.61, Epsilon 0.17, TotalStep 103925
Epoch 120: Loss 9.10, Reward -21.0, Avgloss 9.81, Avgreward -20.61, Epsilon 0.17, TotalStep 104710
Epoch 121: Loss 9.27, Reward -21.0, Avgloss 9.80, Avgreward -20.63, Epsilon 0.17, TotalStep 105499
Epoch 122: Loss 10.85, Reward -20.0, Avgloss 9.80, Avgreward -20.63, Epsilon 0.16, TotalStep 106389
Epoch 123: Loss 9.38, Reward -21.0, Avgloss 9.78, Avgreward -20.65, Epsilon 0.16, TotalStep 107172
Epoch 124: Loss 9.39, Reward -21.0, Avgloss 9.78, Avgreward -20.65, Epsilon 0.16, TotalStep 107961
Epoch 125: Loss 10.85, Reward -21.0, Avgloss 9.77, Avgreward -20.67, Epsilon 0.16, TotalStep 108843
Epoch 126: Loss 9.06, Reward -21.0, Avgloss 9.75, Avgreward -20.67, Epsilon 0.16, TotalStep 109660
Epoch 127: Loss 9.87, Reward -21.0, Avgloss 9.77, Avgreward -20.67, Epsilon 0.15, TotalStep 110447
Epoch 128: Loss 10.14, Reward -21.0, Avgloss 9.78, Avgreward -20.67, Epsilon 0.15, TotalStep 111327
Epoch 129: Loss 10.00, Reward -21.0, Avgloss 9.78, Avgreward -20.68, Epsilon 0.15, TotalStep 112148
Epoch 130: Loss 9.93, Reward -21.0, Avgloss 9.77, Avgreward -20.69, Epsilon 0.15, TotalStep 113026
Epoch 131: Loss 9.47, Reward -21.0, Avgloss 9.77, Avgreward -20.70, Epsilon 0.15, TotalStep 113848
Epoch 132: Loss 9.65, Reward -21.0, Avgloss 9.76, Avgreward -20.70, Epsilon 0.15, TotalStep 114668
Epoch 133: Loss 11.02, Reward -19.0, Avgloss 9.79, Avgreward -20.68, Epsilon 0.14, TotalStep 115606
Epoch 134: Loss 9.08, Reward -21.0, Avgloss 9.78, Avgreward -20.69, Epsilon 0.14, TotalStep 116364
Epoch 135: Loss 9.55, Reward -21.0, Avgloss 9.78, Avgreward -20.70, Epsilon 0.14, TotalStep 117179
Epoch 136: Loss 11.75, Reward -21.0, Avgloss 9.80, Avgreward -20.70, Epsilon 0.14, TotalStep 118176
Epoch 137: Loss 10.96, Reward -21.0, Avgloss 9.81, Avgreward -20.70, Epsilon 0.14, TotalStep 119056
Epoch 138: Loss 9.05, Reward -21.0, Avgloss 9.79, Avgreward -20.71, Epsilon 0.14, TotalStep 119842
Epoch 139: Loss 9.07, Reward -21.0, Avgloss 9.79, Avgreward -20.71, Epsilon 0.14, TotalStep 120661
Epoch 140: Loss 10.77, Reward -20.0, Avgloss 9.80, Avgreward -20.70, Epsilon 0.13, TotalStep 121524
Epoch 141: Loss 9.56, Reward -21.0, Avgloss 9.80, Avgreward -20.70, Epsilon 0.13, TotalStep 122282
Epoch 142: Loss 9.32, Reward -21.0, Avgloss 9.80, Avgreward -20.70, Epsilon 0.13, TotalStep 123062
Epoch 143: Loss 10.69, Reward -21.0, Avgloss 9.78, Avgreward -20.72, Epsilon 0.13, TotalStep 123941
Epoch 144: Loss 10.03, Reward -21.0, Avgloss 9.78, Avgreward -20.73, Epsilon 0.13, TotalStep 124752
Epoch 145: Loss 11.90, Reward -20.0, Avgloss 9.80, Avgreward -20.72, Epsilon 0.13, TotalStep 125680
Epoch 146: Loss 9.39, Reward -21.0, Avgloss 9.81, Avgreward -20.72, Epsilon 0.13, TotalStep 126436
Epoch 147: Loss 9.39, Reward -21.0, Avgloss 9.79, Avgreward -20.73, Epsilon 0.12, TotalStep 127253
Epoch 148: Loss 11.06, Reward -21.0, Avgloss 9.80, Avgreward -20.73, Epsilon 0.12, TotalStep 128161
Epoch 149: Loss 10.47, Reward -21.0, Avgloss 9.82, Avgreward -20.73, Epsilon 0.12, TotalStep 129006
Epoch 150: Loss 10.26, Reward -21.0, Avgloss 9.82, Avgreward -20.74, Epsilon 0.12, TotalStep 129886
Epoch 151: Loss 9.71, Reward -21.0, Avgloss 9.82, Avgreward -20.74, Epsilon 0.12, TotalStep 130704
Epoch 152: Loss 8.64, Reward -21.0, Avgloss 9.82, Avgreward -20.74, Epsilon 0.12, TotalStep 131461
Epoch 153: Loss 9.26, Reward -21.0, Avgloss 9.82, Avgreward -20.74, Epsilon 0.12, TotalStep 132268
Epoch 154: Loss 9.20, Reward -21.0, Avgloss 9.79, Avgreward -20.75, Epsilon 0.12, TotalStep 133058
Epoch 155: Loss 9.76, Reward -21.0, Avgloss 9.79, Avgreward -20.76, Epsilon 0.12, TotalStep 133844
Epoch 156: Loss 9.00, Reward -21.0, Avgloss 9.78, Avgreward -20.77, Epsilon 0.11, TotalStep 134606
Epoch 157: Loss 10.37, Reward -21.0, Avgloss 9.79, Avgreward -20.78, Epsilon 0.11, TotalStep 135425
Epoch 158: Loss 10.64, Reward -21.0, Avgloss 9.80, Avgreward -20.78, Epsilon 0.11, TotalStep 136333
Epoch 159: Loss 11.39, Reward -21.0, Avgloss 9.82, Avgreward -20.78, Epsilon 0.11, TotalStep 137214
Epoch 160: Loss 10.75, Reward -21.0, Avgloss 9.84, Avgreward -20.78, Epsilon 0.11, TotalStep 138060
